  1925 1926 1927 1928 1929 1930 1931 1932 1933 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1949 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000
 28862 29892 31028 32055 32675 32015 29055 28814 34009 37008 38636 42572 44400 45720 47441 51682 59959 67130 68238 66657 69240 77586 92962 101204 96622 108973 122606 129895 128560 134280 149074 169059 177142 189306 195657 205031 217332 232629 248145 264677 288079 318246 347737 386053 436116 497630 549403 602109 690164 875155 915666 955629 1020585 1121965 1290246 1497939 1662185 1756001 1775867 1842072 1926506 2053084 2173155 2276323 2399274 2524502 2602596 2718602 2856654 3043179 3218638 3381548 3575939 3760306 4006292 4279349
 465 548 663 752 835 849 873 896 908 908 894 931 1008 1044 1118 1184 1232 1201 1109 1050 1051 1210 1454 1791 1835 2260 2468 2650 2803 3220 3785 3969 4193 4508 4714 5132 5505 5884 6445 7095 7805 8752 9760 10779 12059 13487 14524 15836 18029 22921 26242 28967 31846 35533 39957 45754 50812 54468 58329 63241 69802 77427 83438 91907 102431 114441 123151 130927 138791 148139 158891 167651 175109 185747 199215 213376
 28397 29343 30365 31302 31840 31166 28182 27918 33102 36100 37742 41641 43392 44676 46323 50498 58727 65929 67129 65607 68189 76376 91507 99413 94786 106712 120137 127246 125758 131060 145289 165090 172948 184798 190943 199899 211828 226745 241700 257582 280274 309494 337977 375274 424057 484143 534879 586272 672135 852234 889423 926662 988739 1086432 1250289 1452185 1611373 1701533 1717539 1778831 1856704 1975657 2089717 2184416 2296843 2410061 2479445 2587675 2717862 2895040 3059747 3213897 3400830 3574559 3807077 4065973
 7684 8089 8435 8812 8924 8460 7577 6981 7462 8082 8358 9757 10909 11382 12311 13524 14743 15724 16385 16984 18786 22093 28440 30346 29889 34241 39776 41983 43942 45983 51522 58188 61234 65287 70772 74191 78431 82852 87167 93833 100860 111351 121205 137833 157105 176313 198753 219774 247328 294034 314086 340102 377087 422161 482133 543970 593558 629286 654267 691323 723034 766423 809513 855334 905665 952140 982036 1031614 1093102 1167899 1229453 1296859 1385614 1481998 1593281 1712320
 0 0 0 0 6 10 12 14 18 22 25 30 35 41 108 324 576 800 903 975 1042 1259 1640 1796 2099 2564 3224 3887 4396 4766 5075 5388 5685 6188 6630 7033 7605 8337 8617 9284 9852 10883 11831 13529 15240 16591 18860 20921 23905 27087 29543 32628 37746 42857 49536 56016 60551 63583 65353 69661 73210 78782 83619 88426 93433 97204 99603 106128 113672 121574 126474 131709 137153 143808 152858 160895
 5743 6001 6189 6387 6387 5970 5245 4756 5028 5385 5533 6400 7093 7319 7755 8282 8850 9325 9668 9974 11024 12911 16597 17684 17147 19499 22580 23706 24774 26055 29628 33986 36010 38506 41828 43953 46489 49024 51703 55912 60384 67273 73564 83650 94880 106453 118496 130457 146281 173042 183181 196550 215941 239607 271170 302888 327062 343145 353906 369755 382719 401350 419231 439105 461099 480253 492340 515253 543441 578398 607854 640533 685425 734754 792681 856084
 890 935 988 1067 1100 1078 996 954 1046 1138 1173 1349 1511 1586 1705 1839 1969 2078 2181 2296 2604 3106 3984 4209 4148 4795 5572 5838 5986 6088 6620 7272 7412 7695 8297 8475 8718 9020 9474 9853 10395 10997 11628 12849 14630 16673 19049 20822 22624 27667 28882 30797 33111 36597 41625 47444 53269 57931 61373 65257 68055 70625 73852 77217 80679 84453 86243 88514 92287 97094 101301 105586 111500 117591 123122 129671
 1051 1153 1257 1358 1431 1402 1324 1257 1369 1538 1627 1978 2270 2436 2743 3079 3348 3521 3633 3739 4116 4817 6219 6657 6495 7383 8400 8552 8785 9073 10199 11542 12127 12898 14017 14730 15619 16470 17373 18783 20230 22198 24183 27805 32355 36596 42348 47574 54518 66238 72480 80128 90290 103100 119802 137622 152676 164627 173636 186651 199050 215666 232812 250585 270453 290230 303851 321720 343701 370834 393823 419031 451535 485845 524620 565669
 15669 15922 16163 16250 16339 16013 14216 14615 18047 19604 20641 21692 21300 21613 21969 24177 30289 36460 36714 34030 34237 37153 43608 46961 42941 48306 54324 57206 52724 55176 61264 70442 72477 78552 78983 82405 87884 95693 103265 108970 119537 132942 145691 157912 177882 207553 221710 241080 284221 377376 374660 370051 375158 396314 457845 551974 631452 657898 634209 633569 664123 717125 762003 776931 808700 850268 870408 891151 922572 984850 1054097 1107833 1171314 1215931 1302014 1400128
 1 6 16 36 63 84 92 104 141 220 284 385 487 547 610 637 656 685 721 755 780 825 1023 1110 1109 1135 1267 1413 1384 1431 1549 1789 1998 2056 2139 2296 2483 2705 3054 3444 4006 4612 5349 6167 7106 8013 9062 9889 10800 13248 15479 16824 18181 19746 22358 25676 28524 30484 31454 32954 34612 36289 37983 40390 43600 46292 48576 50163 52435 55230 58860 61460 65139 66873 70001 76382
